education,group,cgpa,skill,interest_area,work_preference,career
Intermediate,ICS,88,Networking,Technology,Office,Software Engineer
Intermediate,ICS,77,C++,Technology,Remote,Software Engineer
Intermediate,ICS,71,Networking,Technology,Remote,Software Engineer
Intermediate,ICS,77,Web Development,Technology,Office,Software Engineer
Intermediate,ICS,70,C++,Technology,Remote,Software Engineer
Intermediate,ICS,90,Web Development,Technology,Office,Software Engineer
Intermediate,ICS,89,Database Management,Technology,Remote,Software Engineer
Intermediate,ICS,82,C++,Technology,Office,Software Engineer
Intermediate,ICS,71,Networking,Technology,Office,Software Engineer
Intermediate,ICS,93,C++,Technology,Office,Software Engineer
Intermediate,ICS,81,Web Development,Technology,Remote,Software Engineer
Intermediate,ICS,81,Networking,Technology,Remote,Software Engineer
Intermediate,ICS,74,C++,Technology,Office,Software Engineer
Intermediate,ICS,80,C++,Technology,Remote,Software Engineer
Intermediate,ICS,70,C++,Technology,Remote,Software Engineer
Intermediate,ICS,88,Database Management,Technology,Office,Software Engineer
Intermediate,ICS,81,Database Management,Technology,Office,Software Engineer
Intermediate,ICS,84,Networking,Technology,Remote,Software Engineer
Intermediate,ICS,70,C++,Technology,Office,Software Engineer
Intermediate,ICS,76,Networking,Technology,Remote,Software Engineer
Bachelor's,CS/IT,98,Cloud Computing,Technology,Remote,Software Engineer
Bachelor's,CS/IT,84,Java,Technology,Remote,Software Engineer
Bachelor's,CS/IT,99,Cloud Computing,Technology,Office,Software Engineer
Bachelor's,CS/IT,97,DevOps,Technology,Office,Software Engineer
Bachelor's,CS/IT,78,Cloud Computing,Technology,Remote,Software Engineer
Bachelor's,CS/IT,67,DevOps,Technology,Office,Software Engineer
Bachelor's,CS/IT,97,Java,Technology,Remote,Software Engineer
Bachelor's,CS/IT,85,Java,Technology,Remote,Software Engineer
Bachelor's,CS/IT,95,Python,Technology,Office,Software Engineer
Bachelor's,CS/IT,89,DevOps,Technology,Remote,Software Engineer
Bachelor's,CS/IT,97,Cloud Computing,Technology,Remote,Software Engineer
Bachelor's,CS/IT,83,Cloud Computing,Technology,Office,Software Engineer
Bachelor's,CS/IT,85,Cloud Computing,Technology,Office,Software Engineer
Bachelor's,CS/IT,83,DevOps,Technology,Remote,Software Engineer
Bachelor's,CS/IT,79,Python,Technology,Office,Software Engineer
Bachelor's,CS/IT,97,Web Development,Technology,Remote,Software Engineer
Bachelor's,CS/IT,91,DevOps,Technology,Office,Software Engineer
Bachelor's,CS/IT,82,Python,Technology,Office,Software Engineer
Bachelor's,CS/IT,67,Python,Technology,Remote,Software Engineer
Bachelor's,CS/IT,80,Web Development,Technology,Remote,Software Engineer
Master's,MS/MPhil CS,77,Python,Technology,Office,Software Engineer
Master's,MS/MPhil CS,82,Cloud Computing,Technology,Remote,Software Engineer
Master's,MS/MPhil CS,76,Java,Technology,Office,Software Engineer
Master's,MS/MPhil CS,88,Java,Technology,Remote,Software Engineer
Master's,MS/MPhil CS,95,Java,Technology,Office,Software Engineer
